legalType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastDividendDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morningStarOverallRating,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,4,5,5,4,5,4,5,4,0,5,3,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,4,0,5,5,5,4,5,4,5,5,5,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4
earningsQuarterlyGrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceToSalesTrailing12Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytdReturn,0.0214,0.0109,0.0153,0.089700006,0.109799996,0.014099999,0.0706,0.0174,0.1475,0.25959998,0.02,0.0295,0.0221,0.0278,0.024500001,0.048899997,0.1924,0.2867,0.158,0.2401,0.22790001,0.283,0.1245,0.0163,0.0233,0.0168,0.3407,0.1649,0.0146,0.0348,0.0945,0.0372,0.0159,0.0223,0.0794,0.0164,0.118,0.008,0.0272,0.0197,0.1425,0.019,-0.0125,0.0033000002,0.0034,0.1915,0.1126,0.14109999,0.2594,0.0128999995,0.026700001,0.061300002,0.19950001,0.0171,0.0124,0.0109,0.0712,0.19709998,0.1089,0.17549999,0.0853,0.0057,0.14729999,0.0156,0.0222,0.1748,0.28280002,0.0738,0.16059999,0.32740003,0.3607,0.1157,0.0557,0.0036000002,0.012999999,0.0139999995,0.012200001,0.063200004,0.0092,0.2458,0.0128999995,0.0675,0.1094
forwardPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxAge,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lastCapGain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiveYearAverageReturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
address1,Aditya Birla Sun Life AMC Ltd,Aditya Birla Sun Life AMC Ltd,Aditya Birla Sun Life AMC Ltd,Aditya Birla Sun Life AMC Ltd,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Axis Asset Management Company Ltd.,Baroda Pioneer Asset Management Company Limited,Baroda Pioneer Asset Management Company Limited,BNP Paribas Asset Management India Private Limited,BNP Paribas Asset Management India Private Limited,BOI AXA Investment Managers Private Limited,Canara Robeco Asset Management Company Limited,Canara Robeco Asset Management Company Limited,Canara Robeco Asset Management Company Limited,DSP BlackRock Investment Managers Private Limited,"Edelweiss House, Off. C.S.T Road, Kalina, Mumbai 400 098",JPMorgan Asset Management India Pvt. Ltd.,JPMorgan Asset Management India Pvt. Ltd.,Peerless Funds Management Co. Ltd.,Franklin Templeton Asset Management (India) Private Limited,HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,ICICI Prudential Asset Mgmt.Company Limited,IDFC Asset Management Company Limited,IDFC Asset Management Company Limited,IDFC Asset Management Company Limited,IDFC Asset Management Company Limited,India Infoline Asset Management Co. Ltd.,Religare Invesco Asset Management Company Private Limited,Religare Invesco Asset Management Company Private Limited,Kotak Mahindra Asset Management Company Limited(KMAMCL),Kotak Mahindra Asset Management Company Limited(KMAMCL),Kotak Mahindra Asset Management Company Limited(KMAMCL),Kotak Mahindra Asset Management Company Limited(KMAMCL),FIL Fund Management Private Limited,L&T Investment Management Limited,L&T Investment Management Limited,"1st Floor, Sadhana House, Behind Mahindra Tower","Unit No.606, Windsor Building Off.","Unit No.606, Windsor Building Off.",Mirae Asset Global Investments (India) Pvt. Ltd.,Reliance Capital Asset Management Ltd.,Reliance Capital Asset Management Ltd.,Reliance Capital Asset Management Ltd.,Reliance Capital Asset Management Ltd.,Reliance Capital Asset Management Ltd.,PPFAS Asset Management Pvt. Ltd.,DHFL Pramerica Asset Managers Private Limited,Principal Pnb Asset Management Co. Pvt. Ltd.,"6th Floor, Sea Breeze Building, A. M. Road, Prabhadevi Mumbai 400025","6th Floor, Sea Breeze Building, A. M. Road, Prabhadevi Mumbai 400025","6th Floor, Sea Breeze Building, A. M. Road, Prabhadevi Mumbai 400025",SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,SBI Funds Management Private Limited,"5th Floor, Harchandrai House",Tata Asset Management Limited,Tata Asset Management Limited,UTI Asset Management Company Ltd
address2,"One India Bulls Centre ,Tower 1, 17th Flr,","One India Bulls Centre ,Tower 1, 17th Flr,","One India Bulls Centre ,Tower 1, 17th Flr,","One India Bulls Centre ,Tower 1, 17th Flr,","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","Axis House, 1st Floor, C-2, Wadia International Ce","501 TITANIUM, 5TH Floor,","501 TITANIUM, 5TH Floor,","BNP Paribas House, 1, North Avenue, Maker Maxity,","BNP Paribas House, 1, North Avenue, Maker Maxity,","B/204, Tower 1, Peninsula Corporate Park,","Construction House, 4th Floor,","Construction House, 4th Floor,","Construction House, 4th Floor,","Mafatlal Centre, 10th Floor,",,"J.P.Morgan Tower,","J.P.Morgan Tower,","H.O. 3rd Floor,","Indiabulls Finance Centre; Tower 2, 12th and 13th","âHUL Houseâ, 2nd Floor,","âHUL Houseâ, 2nd Floor,","âHUL Houseâ, 2nd Floor,","âHUL Houseâ, 2nd Floor,","âHUL Houseâ, 2nd Floor,","âHUL Houseâ, 2nd Floor,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","3rd Floor, Hallmark Business Plaza,","OneIndiaBulls Centre, 841, Jupiter Mills Compound,","OneIndiaBulls Centre, 841, Jupiter Mills Compound,","OneIndiaBulls Centre, 841, Jupiter Mills Compound,","OneIndiaBulls Centre, 841, Jupiter Mills Compound,","IIFL Centre, 3rd Floor Annex, Kamala City,","3rd Floor, GYS Infinity,","3rd Floor, GYS Infinity,","36-38A, Nariman Bhavan,","36-38A, Nariman Bhavan,","36-38A, Nariman Bhavan,","36-38A, Nariman Bhavan,","6th Floor, Mafatlal Centre,","6th Floor, Mafatlal Centre,","6th Floor, Mafatlal Centre,","570 P. B. Marg, Worli, Mumbai 400018","C.S.T Road, Kalina Santacruz E","C.S.T Road, Kalina Santacruz E","Unit 606, 6th Floor,","One India Bulls Centre - Tower One,","One India Bulls Centre - Tower One,","One India Bulls Centre - Tower One,","One India Bulls Centre - Tower One,","One India Bulls Centre - Tower One,","Great Western Building, 1st Floor,","Nirlon House, 2nd Floor,","Exchange Plaza, Ground Floor, B Wing,",,,,"9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","9th Floor, Crescenzo,","81,Maharshi Karve Road,","Mafatlal Centre, 9th Floor,","Mafatlal Centre, 9th Floor,","UTI Towers, Gn Block,"
address3,"Jupiter Mill Compound,841,S.B. Marg,","Jupiter Mill Compound,841,S.B. Marg,","Jupiter Mill Compound,841,S.B. Marg,","Jupiter Mill Compound,841,S.B. Marg,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Pandurang Budhkar Marg, Worli,","Western Express Highway,","Western Express Highway,","Bandra Kurla Complex, Bandra (E)","Bandra Kurla Complex, Bandra (E)","Ganpatrao Kadam Marg,","5 Walchand Hirachand Marg, Ballard Estate,","5 Walchand Hirachand Marg, Ballard Estate,","5 Walchand Hirachand Marg, Ballard Estate,",Nariman Point,,"Off C.S.T. Road, Kalina,","Off C.S.T. Road, Kalina,","1, Chowringhee Square,",Senapati Bapat Marg;,"H.T. Parekh Marg,165-166, Backbay Reclamation,","H.T. Parekh Marg,165-166, Backbay Reclamation,","H.T. Parekh Marg,165-166, Backbay Reclamation,","H.T. Parekh Marg,165-166, Backbay Reclamation,","H.T. Parekh Marg,165-166, Backbay Reclamation,","H.T. Parekh Marg,165-166, Backbay Reclamation,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Sant Dyaneshwar Marg,","Senapati Bapat Marg,","Senapati Bapat Marg,","Senapati Bapat Marg,","Senapati Bapat Marg,","Senapati Bapat Marg, Lower Parel,","Paranjpe &#39;B&#39; Scheme, Subhash Road,","Paranjpe &#39;B&#39; Scheme, Subhash Road,","227, Nariman Point,","227, Nariman Point,","227, Nariman Point,","227, Nariman Point,","Nariman Point,",Nariman Point,Nariman Point,,,,"Windsor, Off CST Road, Kalina,","11th & 12th floor, Jupiter Mills Compound,","11th & 12th floor, Jupiter Mills Compound,","11th & 12th floor, Jupiter Mills Compound,","11th & 12th floor, Jupiter Mills Compound,","11th & 12th floor, Jupiter Mills Compound,","130/132, S.B.S. Marg, Opp. Lion Gate,","Dr. Annie Besant Road,","NSE Building, Bandra Kurla Complex,",,,,"C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","C-38 & 39, G Block, Bandra Kurla Complex,","Marine Lines,","Nariman Point,","Nariman Point,","Bandra Kurla Complex,"
longBusinessSummary,The investment objective of the scheme is to generate optimal returns with high liquidity through active management of the portfolio by investing in High Quality Debt and Money Market Instruments.,An Open - ended government securities scheme with the objective to generate income and capital appreciation through investments exclusively in Government Securities.,An Open-ended Income Scheme to generate consistent income through superior yields on its investments at moderate levels of risk through a diversified investment approach. This income may be complemented by price changes of instruments in the portfolio.,An Open-ended income scheme with the objective to generate regular income so as to make monthly payment or distribution to unit holders with the secondary objective being growth of capital. Monthly Income is not assured and is subject to availability of distributable surplus.,"To achieve long term capital appreciation by investing in a diversified portfolio predominantly consisting of equity and equity related securities of Large Cap
companies including derivatives. However, there can be no assurance that the investment objective of the Scheme will be achieved.",To generate optimal returns while maintaining liquidity through active management of a portfolio of debt and money market instruments.,"The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments, arbitrage opportunities, and investments in debt and money market instruments. However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved.",To provide a high level of liquidity with reasonable returns commensurating with low risk through a portfolio of money market and debt securities. However there can be no assurance that the investment objective of the scheme will be achieved.,"To generate income and long-term capital appreciation from a diversified portfolio of predominantly equity and equity-related securities. However, there can be no assurance that the investment objective of the Scheme will be achieved.",To achieve long term capital appreciation by investing predominantly in equity & equity related instruments of Mid Cap companies.,"To generate stable returns with a low risk strategy while maintaining liquidity through a portfolio comprising of debt and money market instruments. However, there can be no assurance that the investment objective of the scheme will be achieved.",To generate optimal returns in the medium term while maintaining liquidity of the portfolio by investing in debt and money market instruments.,"To provide optimal returns and liquidity to the investors by investing primarily in a mix of money market and short term debt instruments which results in a portfolio having marginally higher maturity as compared to a liquid fund at the same time maintaining a balance between safety and liquidity. However, there can be no assurance that the investment objective of the Scheme will be achieved.",To generate regular income through investment in debt and money market instruments and also to generate long term capital appreciation by investing a portion in equity and equity related instruments.,The objective of the Scheme is to generate income from a portfolio constituted of short term debt and money market securities.,"The primary objective of the Scheme is to generate regular returns through investment primarily in Debt and Money Market Instruments. The secondary objective of the Scheme is to generate long-term capital appreciation by investing a portion of the Schemeâs assets in equity and equity related securities. However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee / indicate any returns.","The Scheme seeks to generate income and capital appreciation by investing in a diversified portfolio of equity and equity related instruments and fixed income instruments. However, there can be no assurance that the investment objectives of the Scheme will be realized. The Scheme does not guarantee/indicate any returns",The Scheme seeks to generate long-term capital growth from a diversified portfolio of predominantly equity and equity-related securities across all market capitalisations. The Scheme is in the nature of diversified multi-cap fund. The Scheme is not providing any assured or guaranteed returns.(There can be no assurance that the investment objectives of the Scheme will be realized.),"The Investment Objective of the fund is to provide capital appreciation by predominantly investing in companies having a large market capitalization. However, there can be no assurance that the investment objective of the scheme will be realized.","To generate capital appreciation by investing in a diversified portfolio of large and mid-cap stocks. However, there can be no assurance that the investment objective of the scheme will be realized.","(ELSS Scheme) Seeking to provide long term capital appreciation by predominantly investing in equities and to facilitate the subscribers to seek tax benefits as provided under Section 80 C of the Income Tax Act, 1961. However, there can be no assurance that the investment objective of the scheme will be realized.","The primary investment objective of the Scheme is to seek to generate medium to long-term capital appreciation from a diversified portfolio that is substantially constituted of equity and equity related securities of corporates, and to enable investors to avail of a deduction from total income, as permitted under the Income Tax Act, 1961 from time to time.","The primary objective of the Scheme will be to generate absolute returns with low volatility over a longer tenure of time. The Scheme will accordingly invest in arbitrage opportunities and debt and money market instruments on the one hand and in pure equity investments and equity derivative strategies on the other. However, there is no assurance that the investment objective of the Scheme will be realized.","The investment objective of the Scheme is to generate returns commensurate with risks of investing in a portfolio of Debt Securities and Money Market Instruments issued by Banks, Public Sector Undertakings, Public Financial Institutions, entities majorly owned by Central and State Governments and Municipal Bonds. However, there can be no assurance that the investment objective of the scheme will be realized.","The investment objective of the Scheme is to generate income through investment in Securities of various maturities issued and/or created by the Central Government and State Governments of India. However, there can be no assurance that the investment objectives of the Scheme will be realized.","To provide a high level of liquidity with reasonable returns commensurate with low risk through a portfolio of money market and debt securities. However, there can be no assurance or guarantee that the investment objective of the scheme(s) will be achieved. The Scheme(s) does not assure or guarantee any returns.",The Scheme seeks to achieve capital appreciation through investments in companies engaged either directly or indirectly in infrastructure-related activities.,To provide long term capital appreciation / income from a dynamic mix of equity and debt investments. There is no assurance that the investment objective of the Scheme will be realized,To generate income/capital appreciation through investments predominantly in AA+ and above rated corporate bonds. There is no assurance that the investment objective of the Scheme will be realized.,"To generate income/capital appreciation by investing predominantly in AA and below rated corporate debt. There is no assurance that the investment
objective of the Scheme will be realized.","To provide capital appreciation by investing in Equity & equity related instruments, Arbitrage opportunities, and Debt & money market instruments.
There is no assurance that the investment objective of the scheme will be realized.","To generate income/capital appreciation by investing primarily in debt securities, money market instruments and moderate exposure to equities.
There is no assurance that the investment objective of the Scheme will be realized.","To generate income / capital appreciation through investments in Debt and Money Market Instruments.
There is no assurance that the investment objective of the Scheme will be realized.","To generate income through investing in a range of debt and money market instruments of various duration while maintaining the optimum balance of yield, safety and liquidity. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.",To generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in banking and financial services.,"To generate income through predominantly investing in Debt instruments of banks, Public Sector Undertakings, Public Financial Institutions and Municipal Bonds while maintaining the optimum balance of yield, safety and liquidity. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.","To generate long term capital appreciation and income distribution to investors from a portfolio that is predominantly invested in equity and equity related securities of large cap companies. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.","To generate income primarily by investing in portfolio of Government Securities while maintaining constant maturity of the portfolio at 10 years. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.","To generate income through investing predominantly in AA and below rated corporate bonds while maintaining the optimum balance of yield, safety and liquidity. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.","The primary objective of the Scheme is to generate capital appreciation primarily from a portfolio of debt oriented schemes accessed through the diversified investment styles of underlying schemes. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved","The investment objective of the Scheme is to invest in companies whose securities are included in Nifty Next 50 Index (the Index) and to endeavor to achieve the returns of the above index as closely as possible, though subject to tracking error. The Scheme will not seek to outperform the Nifty Next 50. The objective is that the performance of the NAV of the Scheme should closely track the performance of the Nifty Next 50 over the same period subject to tracking error. However, there is no assurance that the investment objective of the Scheme will be realized.","To generate income through investments in a range of debt and money market instruments. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.",The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium to long term such that the Macaulay duration of the portfolio is between 4 years and 7 years.,To generate optimal returns by active management of the portfolio by investing in debt and money market instruments across maturities.,The scheme seeks to generate optimal returns with high liquidity by investing in Government Securities across maturities.,The investment objective of the Scheme is to seek to generate long term capital growth from a diversified portfolio of predominantly equity and equity related securities. There can be no assurance that the investment objective of the scheme will be realised.,"The investment objective of the scheme is to generate long term capital appreciation for investors from a portfolio of equity and equity related securities. However, there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.",To generate capital appreciation by investing predominantly in Equity and Equity Related Instruments through contrarian investing.,To generate capital appreciation by investing in a portfolio that is predominantly constituted of Equity and Equity Related Instruments of infrastructure companies.,"The investment objective of the Scheme is to provide reasonable
returns and reasonably high levels of liquidity by investing in
debt instruments such as bonds, debentures and Government
securities; and money market instruments such as treasury bills,
commercial papers, certificates of deposit, including repos in
permitted securities of different maturities, so as to spread the
risk across different kinds of issuers in the debt markets.
There is no assurance that the investment objective of the
Scheme will be realised.","The investment objective of the scheme is to generate income
by investing in debt /and money market securities across the
yield curve and predominantly in AA rated and below corporate
securities. The scheme would also seek to maintain reasonable
liquidity within the fund.
There is no assurance that the investment objective of the
Schemes will be realised.","The investment objective of the Scheme is to enhance returns
over a portfolio of debt instruments with a moderate exposure
in equity and equity related instruments. By investing in debt
securities, the Scheme will aim at generating regular returns,
while enhancement of return is intended through investing in
equity and equity related securities. The Scheme may also use
various derivative and hedging products from time to time, in
the manner permitted by SEBI.
There is no assurance that the investment objective of the
Schemes will be realised.","The investment objective of the scheme is to generate long-term capital appreciation from a portfolio of equity and equity related securities, by investing predominantly in mid companies. The scheme may also invest in debt and money market instruments, as per the asset allocation table. There is no assurance that the investment objective of the scheme will be achieved.",To generate reasonable returns primarily through investments in fixed income securities and money market instruments. There is no assurance that the objective of the Scheme will be realised and the Scheme does not assure or guarantee any returns.,To generate regular income through investment in a portfolio comprising substantially of money market instruments.,To generate regular return by investing predominantly in AA+ and above rated debt and money market instruments.,"The Scheme seeks to generate long term capital appreciation and also income through investments in equity and equity related instruments, arbitrage opportunities and investments in debt and money market instruments. However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.","The investment objective of the scheme is to generate income and capital appreciation from a portfolio primarily investing in Indian equities and equity related securities of large cap and mid cap companies at the time of investment. From time to time, the fund manager may also seek participation in other Indian equity and equity related securities to achieve optimal Portfolio construction. The Scheme does not guarantee or assure any returns.",The investment objective of the scheme is to generate long term capital appreciation by capitalizing on potential investment opportunities by predominantly investing in equities of large cap companies. The Scheme does not guarantee or assure any returns.,The investment objective of the scheme is to generate long term capital appreciation from a diversified portfolio of predominantly equity and equity related instruments. The Scheme does not guarantee or assure any returns.,"The investment objective of the scheme is to capitalize on the potential upside in equity markets while attempting to limit the downside by dynamically managing the portfolio through investment in equity & equity related instruments and active use of debt, money market instruments and derivatives. There is no assurance or guarantee that the investment objective of the scheme will be achieved.",The primary investment objective of the scheme is to generate optimal credit risk-free returns by investing in a portfolio of securities issued and guaranteed by the Central Government and State Government.,"The primary investment objective of the scheme is to seek to generate long term capital appreciation by investing predominantly into equity and equity related instruments of large cap companies. The secondary objective is to generate consistent returns by investing in debt, money market securities, REITs and InvITs. However, there can be no assurance that the investment objective of the Scheme will be realized.",The investment objective of the Scheme is to generate optimal returns consistent with moderate levels of risk and liquidity by investing in money market instruments.,The primary investment objective of the scheme is to generate stable returns for investors with a short term investment horizon by investing in debt and money market instruments.,The investment objective of the scheme is to seek to generate long-term capital growth from an actively managed portfolio primarily of equity and equity related securities.,The primary objective of the Scheme is to achieve long-term capital appreciation by predominantly investing in equity & equity related instruments of mid cap companies.,"To provide capital appreciation and income distribution to the investors by using equity and equity related instruments, arbitrage opportunities, and investments in debt and money market instruments. However, there can be no assurance that the investment objective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns.",The investments objective of the scheme is to generate income / capital appreciation by investing primarily in equity and equity related instruments with a moderate exposure to debt securities & money market instruments.,"The primary investment objective of the scheme is to seek to generate capital appreciation & provide long term growth opportunities by investing in a portfolio of Large Cap, Mid Cap and Small Cap companies. There is no assurance that the investment objective of the Scheme will be realized.",The investment objective of the Scheme is to generate Capital Appreciation by investing predominantly in a well diversified portfolio of Equity Shares with growth potential. This income may be complemented by possible dividend and other income.,"The investment objective of the scheme is to generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in banking and financial services. However, there can be no assurance that the investment objective of the Scheme will be realized.",To provide the investors an opportunity to earn regular income predominantly through investment in debt and money market instruments and capital appreciation through an actively managed equity portfolio.,To provide returns to the investors generated through investments predominantly in Government securities issued by the Central Government and/or State Government such that the Average Maturity of the portfolio is around 10 years.,"To provide investors an opportunity to generate regular income through investments in debt and money market instruments such that the Macaulay duration of the portfolio is between 4 years and 7 years. However, there is no guarantee or assurance that the investment objective of the scheme will be achieved. The scheme doesnât assure or guarantee any returns.","To provide investors an opportunity to generate regular income with reasonable degree of liquidity through investments in debt and money market instruments in
such a manner that the Macaulay duration of the portfolio is between 6 months and 12 months.","To provide investors an opportunity to generate attractive returns with moderate degree of liquidity through investments in debt and money market instruments such that the Macaulay duration of the portfolio is between 3 years - 4 years.
However, there is no guarantee or assurance that the investment objective of the scheme will be achieved. The scheme doesnât assure or guarantee any returns.",To provide the investors an opportunity to invest in an actively managed portfolio of multiple asset classes.,To provide investors an opportunity to generate regular income through investments in a portfolio comprising predominantly of debt instruments which are rated not below investment grade and money market instruments such that the Macaulay duration of the portfolio is between 1 year and 3 years.,To provide investors with opportunities for long-term growth in capital along with the liquidity of an open-ended scheme by investing predominantly in a well diversified basket of equity stocks of small cap companies.,"To provide a financial planning tool for long term financial security for investors based on their retirement planning goals. However, there can be no assurance
that the investment objective of the fund will be realized, as actual market movements may be at variance with anticipated trends.","To provide a financial planning tool for long term financial security for investors based on their retirement planning goals. However, there can be no assurance
that the investment objective of the fund will be realized, as actual market movements may be at variance with anticipated trends.","The primary objective of the scheme is to generate long term capital appreciation by investing predominantly in equity and equity related securities of companies across the market capitalization spectrum. However, there can be no assurance or guarantee that the investment objective of the scheme would be achieved."
companyOfficers,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
previousClose,88.3965,67.2629,105.314,51.7211,46.88,25.2546,17.15,2306.58,74.2924,69.71,25.8331,23.047,2516.31,32.0474,24.5051,38.9597,18.9861,104.38,42.25,162.71,113.47,81.343,36.58,19.8081,20.0917,2269.21,65.3274,271.037,25.586,19.6718,49.014,51.4226,25.3441,29.7992,59.56,26.0241,61.96,19.5667,25.8845,35.9224,35.3974,23.1327,56.5603,29.3443,29.4443,60.99,28.2796,77.14,29.75,44.1443,25.7459,44.0293,46.88,23.1157,21.6141,60.7184,15.8404,93.475,76.535,30.2,123.937,18.4786,47.559,3248.02,43.8079,44.404,39.44,50.0568,171.536,368.612,205.187,25.2079,74.1773,51.2195,58.3903,2822.47,42.2423,37.7409,26.3711,99.366,24.8293,44.9844,238.616
regularMarketOpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twoHundredDayAverage,87.05981,66.40661,103.827965,49.83116,43.855408,24.930326,16.459703,2286.3699,68.347435,61.509853,25.495565,22.651575,2486.0989,31.389734,24.157387,37.886623,17.321093,90.43933,39.154816,145.0343,102.57645,71.885445,34.467556,19.519213,19.761948,2250.391,56.803326,254.25092,25.286364,19.292078,46.78051,56.811954,25.055025,29.38817,81.131035,25.727478,58.727924,19.363663,25.406157,35.493797,32.538548,22.900026,56.68521,29.078114,29.181585,84.474,26.544634,72.43074,26.97489,43.646152,25.308647,42.68107,114.51434,22.905382,21.472527,59.939144,15.201882,86.70535,72.17426,88.75456,118.39374,18.328636,44.59936,3222.2236,43.185154,41.322163,35.204224,48.206467,226.41882,326.2321,176.57713,24.341774,71.60182,50.8006,57.67004,2800.0046,41.715042,36.234497,26.143484,90.0882,26.309235,42.61212,224.18755
trailingAnnualDividendYield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payoutRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume24Hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
